graph,num_comms
0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,3
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,3
80,3
81,3
82,3
83,3
84,4
85,4
86,4
87,6
88,6
89,6
90,8
91,8
92,8
93,8
94,8
95,9
96,9
97,10
98,10
99,10
100,10
101,11
102,12
103,12
104,13
105,12
106,13
107,13
108,13
109,14
110,14
111,15
112,16
113,16
114,17
115,17
116,17
117,17
118,17
119,17
120,18
121,18
122,19
123,19
124,20
125,21
126,21
127,21
128,23
129,23
130,24
131,24
132,24
133,24
134,24
135,24
136,25
137,26
138,27
139,29
140,31
141,31
142,32
143,34
144,35
145,35
146,36
147,38
148,38
149,39
150,40
151,42
152,41
153,43
154,43
155,43
156,43
157,44
158,48
159,48
160,49
161,52
162,53
163,54
164,53
165,55
166,57
167,57
168,58
169,58
170,60
171,62
172,65
173,64
174,63
175,63
176,65
177,63
178,64
179,65
180,66
181,64
182,65
183,67
184,68
185,71
186,72
187,74
188,74
189,76
190,76
191,77
192,79
193,78
194,78
195,81
196,81
197,81
198,82
199,82
200,82
201,82
202,83
203,83
204,83
205,85
206,86
207,87
208,88
209,94
210,95
211,96
212,98
213,95
214,95
215,95
216,97
217,99
218,101
219,101
220,101
221,101
222,103
223,104
224,104
225,105
226,106
227,108
228,111
229,113
230,113
231,113
232,113
233,114
234,114
235,114
236,115
237,115
238,115
239,117
240,117
241,117
242,117
243,118
244,121
245,122
246,127
247,130
248,128
249,128
250,131
251,133
252,134
253,136
254,136
255,137
256,138
257,139
258,139
259,139
260,142
261,144
262,144
263,145
264,143
265,145
266,145
267,146
268,147
269,147
270,149
271,150
272,151
273,154
274,155
275,156
276,157
277,160
278,159
279,161
280,162
281,162
282,163
283,165
284,165
285,165
286,163
287,164
288,165
289,167
290,169
291,170
292,170
293,171
294,169
295,171
296,171
297,171
298,173
299,175
300,176
301,176
302,179
303,178
304,179
305,180
306,181
307,182
308,183
309,183
310,184
311,185
312,185
313,186
314,188
315,189
316,191
317,193
318,193
319,192
320,193
321,195
322,195
323,199
324,201
325,203
326,205
327,204
328,204
329,203
330,203
331,204
332,207
333,205
334,205
335,204
336,206
337,207
338,208
339,208
340,210
341,213
342,214
343,214
344,213
345,213
346,217
347,219
348,221
349,222
350,225
351,226
352,224
353,224
354,226
355,229
356,230
357,234
358,234
359,233
360,237
361,239
362,243
363,242
364,243
365,244
366,244
367,243
368,243
369,244
370,243
371,243
372,244
373,247
374,249
375,249
376,251
377,250
378,250
379,250
380,252
381,257
382,257
383,258
384,259
385,259
386,260
387,259
388,261
389,265
390,265
391,263
392,267
393,268
394,270
395,272
396,275
397,274
398,278
399,278
400,282
401,285
402,286
403,287
404,286
405,286
406,287
407,287
408,290
409,289
410,291
411,293
412,295
413,296
414,298
415,297
416,300
417,303
418,302
419,301
420,301
421,301
422,301
423,303
424,302
425,303
426,303
427,303
428,308
429,310
430,310
431,311
432,312
433,312
434,315
435,318
436,319
437,319
438,321
439,321
440,322
441,321
442,319
443,321
444,318
445,323
446,327
447,330
448,331
449,332
450,335
451,337
452,338
453,339
454,340
455,340
456,341
457,339
458,339
459,343
460,341
461,341
462,343
463,339
464,338
465,341
466,340
467,341
468,342
469,341
470,342
471,340
472,338
473,340
474,341
475,341
476,344
477,343
478,345
479,348
480,349
481,350
482,352
483,354
484,354
485,355
486,356
487,357
488,358
489,360
490,361
491,362
492,363
493,364
494,367
495,366
496,367
497,368
498,370
499,368
500,369
501,369
502,370
503,371
504,370
505,368
506,367
507,364
508,365
509,365
510,366
511,365
512,367
513,369
514,370
515,370
516,369
517,372
518,378
519,378
520,379
521,383
522,383
523,384
524,385
525,387
526,390
527,392
528,391
529,393
530,393
531,390
532,391
533,389
534,391
535,392
536,396
537,396
538,396
539,397
540,398
541,399
542,403
543,402
544,406
545,404
546,406
547,407
548,410
549,412
550,413
551,414
552,415
553,416
554,416
555,417
556,415
557,414
558,410
559,408
560,406
561,409
562,412
563,414
564,412
565,409
566,410
567,412
568,414
569,416
570,416
571,412
572,414
573,414
574,419
575,421
576,422
577,424
578,422
579,423
580,425
581,426
582,428
583,428
584,427
585,428
586,429
587,431
588,433
589,433
590,436
591,436
592,438
593,437
594,438
595,437
596,436
597,436
598,437
599,438
600,437
601,439
602,437
603,438
604,438
605,437
606,437
607,439
608,439
609,440
610,439
611,441
612,444
613,448
614,449
615,452
616,453
617,452
618,456
619,456
620,460
621,463
622,467
623,467
624,468
625,463
626,465
627,468
628,469
629,473
630,470
631,469
632,466
633,468
634,465
635,465
636,464
637,465
638,468
639,466
640,471
641,474
642,476
643,473
644,471
645,467
646,465
647,462
648,459
649,458
650,459
651,459
652,458
653,461
654,462
655,461
656,463
657,462
658,464
659,468
660,471
661,475
662,470
663,469
664,469
665,471
666,473
667,474
668,475
669,477
670,478
671,476
672,477
673,478
674,479
675,481
676,480
677,478
678,480
679,478
680,481
681,479
682,479
683,478
684,480
685,483
686,484
687,486
688,486
689,487
690,492
691,492
692,490
693,490
694,492
695,493
696,496
697,499
698,503
699,501
700,505
701,505
702,504
703,504
704,504
705,508
706,508
707,512
708,512
709,512
710,513
711,516
712,517
713,517
714,520
715,522
716,524
717,523
718,527
719,531
720,533
721,530
722,533
723,534
724,534
725,538
726,534
727,536
728,535
729,531
730,533
731,534
732,535
733,536
734,538
735,539
736,539
737,543
738,547
739,543
740,544
741,542
742,545
743,546
744,547
745,547
746,547
747,548
748,548
749,550
750,552
751,554
752,553
753,558
754,555
755,557
756,558
757,553
758,553
759,553
760,554
761,555
762,554
763,557
764,555
765,552
766,553
767,554
768,559
769,559
770,557
771,559
772,560
773,560
774,561
775,561
776,561
777,561
778,562
779,560
780,562
781,562
782,565
783,567
784,569
785,572
786,574
787,573
788,573
789,573
790,573
791,573
792,579
793,583
794,591
795,590
796,588
797,593
798,595
799,595
800,596
801,597
802,602
803,602
804,607
805,609
806,610
807,614
808,616
809,619
810,620
811,620
812,619
813,617
814,617
815,618
816,620
817,621
818,622
819,621
820,624
821,623
822,621
823,620
824,617
825,615
826,615
827,618
828,617
829,618
830,622
831,622
832,623
833,621
834,621
835,624
836,626
837,626
838,623
839,624
840,627
841,624
842,622
843,622
844,622
845,624
846,625
847,626
848,631
849,630
850,631
851,634
852,631
853,633
854,631
855,631
856,623
857,622
858,621
859,620
860,618
861,619
862,621
863,623
864,625
865,627
866,627
867,628
868,630
869,633
870,631
871,630
872,625
873,633
874,633
875,631
876,631
877,634
878,632
879,632
880,627
881,626
882,625
883,627
884,627
885,628
886,628
887,632
888,633
889,637
890,638
891,637
892,639
893,640
894,640
895,638
896,639
897,638
898,638
899,637
900,638
901,639
902,641
903,644
904,644
905,645
906,647
907,648
908,652
909,653
910,648
911,646
912,647
913,649
914,649
915,642
916,638
917,628
918,630
919,620
920,622
921,619
922,621
923,620
924,623
925,619
926,621
927,618
928,610
929,607
930,604
931,597
932,595
933,588
934,589
935,585
936,582
937,578
938,580
939,581
940,575
941,571
942,570
943,569
944,568
945,560
946,557
947,557
948,556
949,555
950,551
951,547
952,545
953,548
954,551
955,550
956,551
957,550
958,548
959,550
960,543
961,544
962,543
963,542
964,533
965,528
966,525
967,526
968,523
969,524
970,522
971,518
972,518
973,519
974,521
975,517
976,516
977,512
978,512
979,510
